"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"939","153","Alam","","Comilla Bamboo","Moderately closely tufted, sympodial bamboo. Young shoots blackish-green, sheaths imbricating, blades erect, auricles of young sheaths blackish-brown with fine curled bristles. Culms when young deep green, thickly brown pubescent, glabrescent in the matured one, old culm dull green and thickly brown-pubescent, glabrescent in the matured state, 5-10 m tall, 3-5 cm in diameter at the base, culm wall 1.5-2.0 cm thick, 5th-8th internodes generally longest, the longest internodes 30-40 cm long, no sulcation. Nodes generally uniform, nodal line single, horizontal to slightly dipping, sheath scar uniform, no supra-nodal line. Branch buds ellipsoidal, c 1.5 cm long, tip obtuse, slightly keeled towards the apex, ciliated along the keels towards the top. Branches from above the mid-culm portion, branches 3-4 from each node, the mid one larger and the lateral subequal branches 100-150 cm long. Culm sheaths including blade 16-20 cm long, 12-14 cm broad at the base, leathery, fall off at the time of 
branch emergence, sheath proper 11-16 cm long, elongated, adaxial surface glabrous, abaxial surface pubescent with brown hairs, attenuated towards the top, ligule continuous with the sheath top, wider in the middle, c 2 mm wide, margin very minutely ciliated, auricles 2, dissimilar, overlapped by the blade base, one elongated, bluntly conical, 1.0-1.5 cm long, directed upward, another to some extent falcate, 1.5-2.0 cm long, extended laterally or directed downward, margin fringed with brown wavy bristles, bristles glabrous, blades papery, 5-9 cm long, 5-8 cm wide at the base, ovate to cordate at the base, acuminate, bristled along the margin towards the base, both the surfaces pubescent, abaxial surface more hairy than the adaxial surface. Leaves in complements of 8-10 blades, leaf sheaths striate, slightly keeled on the back, ligulate, petioles c 8 mm long, bristly auricled in the young stage, later on deciduous, blades linear to lanceolate, 6-15 Ã— 1-2 cm, base rounded to oblique, tip acuminate, adaxial surface glabrous, abaxial surface very minutely pubescent, secondary veins 6-7 pairs, tertiary veins 4-5 between secondary pairs. Flowering branches up to 40 cm long, glabrous, sometimes leafy. Pseudo-spikelets many from a single node, both fertile and sterile together, cylindrical, 1.0-1.3 cm long, subtended by prophyll, 2-3 prophylls subtending a bud, empty glumes boat-shaped, acute, fertile florets 3, followed by an imperfect terminal floret. Lemma 10-12 mm long, boat-shaped, acute to mucronate, parallel veined. Palea 8-10 mm long, tip extended beyond the keels, in some trifid at the apex, tip of the keels slightly separated, ciliated along the keels towards the top. Lodicules 1.0-1.5 mm long, ovate to lanceolate, ciliated along the edge. Filaments short, anthers c 6 mm long, tip obtuse, connective ending in a very slight point, dehiscence first apical then lateral. Ovary c 1.5 mm long, oblong-ovate, hairy above, style short, stigmas 3, plumose. Fruit a caryopsis, c 5 mm long, oblong-lanceolate, hairy at the top. Flowering: ","March-January","Sandy loam soils and cultivated in homesteads.","Brahmanbaria and Comilla.","Used for mat and basket making, roof-frames and ot"
"940","154","R.B. Majumdar","Bambusa alamii Stapleton","Tentua Bamboo","Densely tufted, sympodial, crowns of matured culms spreading. Young shoots yellowish-green, white blooms on back of the sheaths, silvery bristles on the auricles, blades erect with acuminate tip. Culms dull green, glaucous, 3-6 m tall, 0.8-3.0 cm in diameter at the base, 5th and 6th internodes generally longest, the longest internodes 20-70 cm long, internodes slightly sulcated just above the node, branching profuse at the base of the culm. Nodes slightly greater than the internodes, nodal line single, horizontal, no distinct supra-nodal line. Branch buds ovate, c 2 cm long, 2-keeled, slightly ciliated along the keels. Branches from base to mid culms. Culm sheaths green when young, deciduous, conical including the blade, sheath proper 10-14 cm long, 12-15 cm broad at the base, asymmetrical, gradually tapering into an obtuse tip, both the surfaces glabrous, ligules continuous at the top of the sheath, up to 1 mm wide, entire, auricles 2, unequal, attached with the side of the sheath, free from the blade, margin with long bristles which are 4-7 mm long, blades conical, base cordate, acuminate, placed on the top of the sheath, base overlapping the top of the auricle, both the surfaces glabrous. Leaves in complements of 5-11, leaf sheaths glabrous, keeled on the back, auricled, auricles c 1.5 cm long and bristled, ligulate, petiolate, petioles c 5 mm long, blades lanceolate, 8.5-33.0 Ã— 1.5-5.0 cm, acuminate, both surfaces glabrous, adaxial surface whitish-green, secondary veins 12-13 pairs, tertiary veins 5-7 between secondary pairs. Flowering branches up to 35 cm long, sometimes leafy. Pseudo-spikelets 2-4 from each node, both sterile and fertile, some subtended by a sheath, sterile spikelets 2-3 cm long, fertile pseudo-spikelets 3-4 florets fertile, terminal 3-5 florets aborted (becoming gradually stunted), represented by only convolute lemma or rachilla, rachilla flattened, articulated below the lemma. Lemma boat-shaped, c 21 mm long, glabrous.   Palea c 16 mm long, 2-keeled, ciliated along the  keels towards the upper end, tip truncate, 5-6 veined between the keels, 2-3 veined between the keel and the edge. Lodicules 3, asymmetrical, fimbriated, 2 larger, larger one c 6 mm long, thick towards the base, smaller one 3-4 mm long, ovate. Stamens 6, anthers c 8 mm long, slightly apiculate. Ovary c 3 mm long, stalked, stalk up to 2 mm long, hairy towards the top, style stout, stigmas 3, plumose. Fruit a caryopsis, c 11 mm long, nearly obovate, attenuated towards the top. ","March-February","Homesteads, especially in loamy soils.","Sylhet, Maulvi Bazar, Sunamgonj, Habigonj, Brahman","Culms are used in making fishing rods and in roof "
"941","155","(Lour.) Raeuschel ex J.A. & J.H. Schult","Arundo multiplex Lour., Ludolphia glaucescens Will","Chinese Dwarf Bamboo, Hedge Bamboo","Densely tufted, sympodial bamboo. Young shoots green with white powdery mass on it, no auricle, blade erect. Culms shrubby, yellowish-green, covered with white waxy powder, 2-5 m tall, 0.8-2.0 cm in diameter at the base, generally 3rd and 4th internodes longest, the longest internodes 20-30 cm long, no sulcation. Nodes slightly greater in diameter than the internodes, nodal line single, horizontal to slightly dipping, no supra-nodal line. Branch buds on the nodal line, ovate, 2-keeled, slightly ciliated along the keels. Branches from mid-culm nodes, only the central one and two lateral ones greater in size than the remaining ones, the whole form a cluster. Culm sheaths green to light reddish-brown when young, soon turning light yellow, persistent to deciduous, sheath proper 12-15 cm long, both the surfaces glabrous, apex rounded, ligules continuous on the whole top of the sheath, up to 1.5 mm wide, margin irregularly or shortly toothed, auricles generally absent, sometimes very slightly auricled with few stiff bristles, blades erect and appressed on the culm, narrowly triangular, acuminate, base covering the whole top of the sheath, both the surfaces glabrous. Leaves in complements of 6-13, leaf sheaths glabrous, ligulate, petiolate, petioles c 8 mm long, auricled, blades lanceolate, 5-15 Ã— 0.6-1.5 cm, adaxial surface green, abaxial surface glaucous-green, covered with very short velvety hairs, secondary veins 4-5 pairs, tertiary veins 4-7 between secondary pairs. Flowering branches of different sizes from each node, up to 30 cm long, sometimes in cluster, initially leafy, ultimately leafless bearing pseudo-spikelets in clusters. Pseudo-spikelets subtended by bracts, sessile, linear-lanceolate, 3-4 cm long, 5-7 mm wide, rachilla glabrous, striated, fertile florets 4-7 (sometimes up to 10), the terminal one imperfect. Lemma c 17 mm long, ovate, acute, many-veined, glabrous. Palea c 15 mm long, minutely ciliated at the tip, 5-6 veined on the back between the keels. Lodicules c 2 mm long, linear, glabrous (non ciliated), thickened below, 2-veined. Stamens exserted, anthers c 6 mm long, dehiscence apical. Ovary c 1.5 mm long, obovate, slightly stalked, pubescent above, style short, stigmas 3, plumose. Fruit a caryopsis, c 10 mm long, elliptic, roughly hairy above and ending in a short beak.","March-November","Wide variety of soils in homesteads, villages and ","Cultivated in gardens.","Generally cultivated as a hedge plant in gardens. "
"942","156","Wall. ex Munro","Bambusa falconeri Munro, Bambusa pallida Munro, Ba","Makhal Bamboo","Loosely tufted sympodial bamboo. Young shoots dull to yellowish-green, sheaths sparsely pubescent with shiny black hairs and white powdery mass above, auricles ciliated, imbricating. Culms dull green, glabrous, 15-20 m tall, 4.5-8.0 cm in diameter at the base, generally the 7th and 8th internodes longest, the longest internodes 45-60 cm long, internodes uniform, not sulcated. Nodes almost parallel with the internodes, nodal line single, transverse band velvety-brown pubescence above the node towards the lower culms. Branch buds ovate, keeled toward the upper half, ciliated along the keels. Culm sheaths deciduous at the time of branch emergence, sheath proper asymmetrical, 15-35 cm long, 25-30 cm broad at the base, slightly attenuated upward and rounded at the top, lateral sides oblique, abaxial surface covered with blackish-brown hairs, ligules continuous with the sheath top, margin entire or sometimes ciliated, auricles 2, unequal, larger one decurrently with the blade base and lateral side of the sheath, the smaller one erect, both the auricles plaited with curled bristles, blades ovate with broad cordate base, 6-10 cm broad at the base. Leaves in complements of 6-13 blades,  leaf  sheaths  slightly keeled on the back, puberulent, auricled with bristles when very young, auricles fall off very soon, petioles c 5 mm long, blades lanceolate to oblong-lanceolate, 7-30 Ã— 1.5-3.0 cm, base rounded to oblique, tip acuminate, adaxial surface green, puberulous, secondary veins 8-14 pairs, tertiary veins 5-8 between secondary pairs. Flowering branches many of different sizes from each node of the main culm, up to 50 cm long, a cluster of pseudo-spikelets from each node, rachis glabrous. Pseudo-spikelets 1.5-7.0 cm long, florets loosely arranged when mature, florets sterile in many pseudo-spikelets, in some with only lemma and palea. Lemma of sterile florets ovate, c 12 mm long, mucronate, some ciliated along the margin, many-veined, those of sterile florets a bit longer. Palea of sterile florets much smaller than lemma, ovate, ciliated along the keels, 4-5 veined between the keels, those of fertile florets a bit longer than those of sterile ones. Lodicules c 1.5 mm long, obtuse, long fimbriate. Stamens 6, rarely 7, exserted, tip penicillate (hairs sometimes deciduous at maturity). Ovary c 1 mm long, stalked, subovate, pubescent, style short, stigmas 2 or 3, plumose. Caryopsis 10-16 mm long, oblong, obtuse, hairy at the top.","April-September","Well-drained sandy loamy soil in low hills associa","Throughout the country.","The culms are used as a construction bamboo in bui"
"943","157","Munro","Bambusa kyathaungtu Camus","Polymorpha Bamboo","Densely tufted sympodial bamboo. Young shoots brownish-green to yellowish, sheath and blades pubescent on the back with blackish hairs, auricles blackish, wavy, curled, ciliated with silvery-brown cilia, margin of the blade rolled inward forming the shape of a cup, tip stiff, pointed. Culms grey to greyish-green, covered with brown pubescence, white scurfy when young, 10-20 m tall, 2.5-10.0 cm in diameter at the base, generally  internodes 7 and 8 the longest, about 50-60 cm long, no sulcation. Nodes parallel, slightly greater in diameter than the internodes, aerial roots present and extend up to internode 5 in some culms. Branch buds covered with nodal line towards the base, c 1.0 Ã— 1.5 cm, ellipsoidal, slightly keeled laterally. Branches from mid-culm to upwards. Culm sheaths green when young, turning yellowish and brown when mature, persistent, sheath proper 20-25 cm long and 28-35 cm wide at the base, attenuated upwards into a rounded top, adaxial surface glabrous, abaxial surface covered with brownish to black appressed hairs, ligule continuous with the sheath top, auricles 2, unequal, falcate, continuous with the sheath, fringed with bristles, blades 5.5-10.0 cm long, reflexed, deciduous, base cordate, tip acuminate, cuspidate, blackish-brown, pubescent on the adaxial surface, lateral margin bristled towards the base. Leaves in compliments of 8-10 blades, leaf sheaths glabrous, slightly keeled on the back, auricled with brown bristles, petioles c 5 mm long, blades linear-lanceolate, 6-20 Ã— 0.7-1.0 cm, base rounded to oblique, tip acuminate, adaxial surface shiny green, glabrous, abaxial surface whitish-green and pubescent, secondary
veins 6-7 pairs, tertiary veins 4-5 between secondary pairs. Flowering branches many from a single node, slender, usually leafless, up to 45 cm long, 5-6 pseudo-spikelets towards lower nodes and gradually increases towards the top. Pseudo-spikelets 1.0-1.5 cm long, cylindrical, shining to pinkish-green, fertile florets 2-3, followed by an imperfect floret supported by a glabrous, clavate rachilla. Lemma 6-10 mm long, ovate, mucronate, many-veined. Palea 7-9 mm long, ovate, truncate and ciliated at the tip, generally not ciliated along the keels, but sometimes very slightly ciliated. Lodicules c 3 mm long, suborbicular to lanceolate, ciliated. Filaments short, anthers c 5 mm long, blunt (sometimes apiculate). Ovary c 15 mm long, stalked, obovate to attenuated, style short, stigmas 3, plumose. Caryopsis 5-7 mm long, ovate, depressed, flattened with sulcation on one side, rounded on the other side, ending in a short hairy mucro at the top. ","March-February","Sandy loams in moist mixed deciduous forests, lowe","Sylhet, Chittagong, Cox's Bazar and the Chittagong","Culms are used for construction of walls, floors, "
"944","158","M.K. Alam","","Jaowa Bamboo","Densely tufted sympodial bamboo with dense branches towards the base. Young shoots blackish-green to chocolate-brown. Culms pale to yellowish-green, sometimes glaucous green, young with white blooms, 10-15 m tall, 4-10 cm in diameter at the base, 6th and 7th internodes generally longest, the longest internodes 4-10 cm long, slightly sulcated. Nodes parallel or slightly greater in diameter than the internodes, nodal line pubescent when young but glabrous when mature. Branch buds c 3.0 Ã— 2.5 cm, ovate, much broader towards the base, keeled laterally, ciliated along the keels. Branches from mid-culm to downwards, branches profuse towards the base. Culm sheaths brown, deciduous to persistent, sheath proper 12-20 cm long, 25-30 cm wide at the base, slightly attenuated to roughly truncate at the top, margin oblique, adaxial surface glabrous, abaxial surface covered with shiny black deciduous hairs, ligules continuous with the sheath top, broader at the mid, entire, auricles 2, sub-equal, decurrently with the blade, fringed with long brown bristles, blades 4-6 Ã— 10-15 cm, generally with a longitudinal split, ovate, base rounded, tip cuspidate, adaxial surface covered with brownish-black hairs. Leaves in complements of 7-10 blades, generally 7, leaf sheaths sparsely brown pubescent, keeled on the back, auricled with deciduous bristles, petioles short, blades linear-lanceolate, 12-24 Ã— 1.3-2.0 cm, base rounded to oblique, tip acuminate, adaxial surface pale green, very sparsely bristled, abaxial surface dull green, secondary veins 6-8 pairs, tertiary veins 6-8 between each pair. Flowering branches many from a single node, slender, initially leafy, ultimately leafless, up to 30 cm long, bearing 4-6 pseudo-spikelets from each node. Pseudo-spikelets up to 4 cm long, cylindric, shiny, subtended by 2-3 prophylla, empty glumes 2-3, boat-shaped, fertile florets 4-8, terminated by an imperfect floret, rachilla glabrous. Lemma 10-15 mm long, ovate, acute, many-veined. Palea 9-15 mm long, ovate, truncate at the top, ciliated along the keels, 5-6 veined between the keels, 4-veined between the keel and the edge, tessellation between the veins. Lodicules c 2 mm long, suborbicular to lanceolate, one thickened along the mid. Stamens exserted, anthers c 6 mm long, blunt, sometimes apiculate, dehiscence lateral. Ovary c 2.5 mm long, obovate, hairy on the top, style short, stigmas 3, plumose.","March-September","Loamy soils.","Throughout the country.","Culms are used for construction of houses, weaving"
"945","160","Roxb.","Bambusa bambos (L.) Voss var. spinosa (Roxb. ex Ha","Spiny Bamboo","Very densely tufted, sympodial bamboo. Young shoots deep purple with very few white stripes, glabrous, blades erect, tip blunt, tips of the growing shoot become blackish to yellowish with ciliated curled auricles. Culms dull to deep green, 5-6 m tall, 2-5 cm in diameter at the base, thick branched, very spiny, branches from base to mid-culm nodes pendent and stretching on the ground, internodes distinctly sulcated, flattened at one side in young culms, culm wall thick with a small lumen or almost solid on the upper part of the culm or distal parts of the branches. Nodes comparatively greater in diameter than the internodes, nodal line single, dipping, remnants of sheath fibres present on the nodal line, a whitish or brownish band of white pubescence above node in young culms, supra-nodal line present. Branch buds ovate-triangular, with broad base and elongated tip, c 3 cm long and 3-4 cm wide at the base, laterally 2-keeled towards the apex, ciliated along the keels. Branches mostly throughout the culm, central dominant, thorny, thorns curved, up to 4.5 cm long, generally 3 from each branch node. Culm sheaths dark maroon striping, appressed, succulent and leathery, sheath proper elongated to cylindrical, up to 25 cm long, margin plaited, adaxial surface glabrous, abaxial surface glabrous to pubescent with blackish hairs with a dense rings of hairs at the base, ciliated, auricles inconspicuous, if present ciliated bordering the top of the sheath, blades erect, 4-12 cm long, up to 6 cm wide at the base, adaxial surface densely covered with thick black or blackish-brown appressed hairs, producing a felt like appearance. Leaves in complements of 8-10 blades, leaf sheaths slightly keeled, auricled, auricles bristled, petioles very short, blades lanceolate to linear, 6-22 Ã— 1.0-3.5 cm, tip acute, both surfaces glabrous, secondary veins 4-6 pairs, tertiary veins 5-7 between secondary pairs. Flowering branches many from a single node, up to 25 cm long (some up to 60 cm long), flowers initiate in leafy branches but ultimately the branches become leafless, bearing cluster of pseudo-spikelets in alternate nodes. Pseudo-spikelets sessile, subtending bracts caducous, up to 2.5 cm long, flattened, glabrous except the prominent ciliated edge of the palea. Florets 5-7, longer upwards, the lower one fertile and upper few abortive, the terminal one imperfect, rachilla obconical, minutely ciliated at the edge. Lemma c 8 mm long, ovate-lanceolate, mucronate, sometimes ciliated along the edge. Palea c 9 mm long, subacute, 2-4 veined between the keels, ciliated along the keels. Lodicules c 1.5 mm long, fimbriate. Stamens exserted, anthers c 5 mm long, obtuse, sometimes with an apiculate bristle. Ovary c 1 mm long, elliptic-oblong, style short, stigmas 3, plumose. Caryopsis c 4 mm long, oblong, ending in a short beak by the end of the style.","April-March.","Low hills in laterites, and also in deep alluvial ","Northern districts of the country.","Culms are hard and used for house construction pur"
"946","161","Roxb.","Dendrocalamus tulda (Roxb.) Voigt, Bambusa longisp","Tulda Bamboo, Indian Bamboo, Spineless Indian Bamb","Close to moderately loosely tufted sympodial bamboo. Young shoots dull green, sheaths sparsely pubescent with shiny black hairs and white powdery mass above, yellow stripe in some clumps. Culms dull green with numerous vertical white or yellowish streaks in the lower internodes, glabrous, powdery mass at least in young stage, 10-15 m tall, 3.5-6.0 cm in diameter at the base, generally the 6th and 7th internodes longest, the longest internodes 25-50 cm long, not sulcated, a dwarf internode near about the base of the culm, kinked, one or two internodes towards the base become so suppressed becoming 2-5 cm long. Nodes greater in diameter than the internodes, annulated with aerial roots, nodal line single, transverse band of velvety-brown pubescence either above or below the nodes and extend up to 10-12 nodes from the base. Branch buds on the nodal line or base slightly covered by nodal lines, ovate, 2-3 Ã— 2.0-2.5 cm, keeled towards the upper half, ciliated along the keels. Branches generally from lower mid to upper nodes, mostly horizontal. Culm sheaths deciduous at the time of branch emergence, sheath proper 15-25 cm long and 10-15 cm wide at the base, attenuated upward and rounded or triangularly truncate at the top, lateral sides oblique, adaxial surface glabrous, abaxial surface with shiny black deciduous bristles, white powdered when young, ligules continuous with the sheath top, auricles 2, unequal, larger one decurrent, rounded, the smaller one erect with a truncate lower edge, both the auricles on the lateral side of the sheath top bristled, blades placed at the top of the sheath, ovate with broad cordate base, sparsely pubescent and glaucous on the adaxial surface. Leaves in complements of 8-12 blades, leaf sheaths thick, sparsely pubescent when very young, falcate-auricled, auricles bristled when young, later deciduous, blades linear-lanceolate, 14-35 Ã— 1.5-2.5 cm, base oblique, sometimes rounded, tip acuminate, adaxial surface pale green, sometimes pubescent, abaxial surface glaucous, secondary veins 7-12 pairs, tertiary veins 6-12 between the secondary pairs. Flowering branches many, of different sizes from each node of the main culm, up to 60 cm long, initially leafy, ultimately leafless, bearing pseudo-spikelets in clusters. Pseudo-spikelets usually 1.2-4.0 cm long, sometimes up to 15 cm long, initially cylindrical and acute, florets loosely arranged and separated by rachilla when mature, each pseudo-spikelet subtended by 1 or 2 chaffy bracts, then 2-4 empty glumes, fertile florets 4-6 (sometimes 15) followed by an imperfect floret. Lemma 12-18 mm long, boat-shaped, many-veined, sometimes ciliated along the edge. Palea 10-15 mm long, lanceolate, keels with stiff cilia, penicillate at the tip, 5-7 veined between the keels, 4-5 veined between the keel and the edge. Lodicules semi-circular, c 3 Ã— 3 mm, thick towards the base, faintly veined, fringed with hairs. Stamens exserted, filaments thin, c 8 mm long, anthers c 6 mm long, light purple or yellow with purplish streaks. Ovary shortly stalked, c 3 mm long, hairy, style short, hairy, stigmas 3, plumose. Caryopsis 8-12 mm long, oblong-lanceolate.","September-May","Well-drained sandy loams in evergreen and mixed ev","Southern and eastern parts of the country.","The culms are generally used for constructions, sc"
"947","162","Munro","Bambusa ventricosa McClure","Buddhaâ€™s Belly Bamboo","A dwarf, densely tufted bamboo, 6-10 m tall and 3-5 cm in diameter at the base, dwarf form occurs in cultivation. When cultivated in pots or under unfavourable circumstances, the plants remain small with swollen internodes. In pot grown specimens: culms 0.2-1.5 m tall, 0.5-2.0 cm in diameter, internodes club- or bottle-shaped, 2-6 cm long, branch internodes also shortened and swollen.","April-October","Cultivated as pot bamboo. It also grows naturally ","Cultivated in gardens.","Mainly cultivated as an ornamental plant."
"948","163","Schrad. ex Wendl.","Bambusa thouarsii Kunth, Bambusa surinamensis Rupr","Common Bamboo","Moderately tufted sympodial bamboo. Young shoots dark brown to yellowish-green, sheath covered with shining black hairs, blades yellowish, erect, auricles distinct. Clumps glossy green, sometimes matured one yellowish, glabrous, 6-15 m tall, 3-10 cm in diameter at the base, generally 7th to 10th internodes longest, the longest internodes 20-35 cm long, matured culms distinctly sulcated and sometimes sulcation extends for the whole internodes. Nodes greater in diameter than the internodes, nodal lines single, slightly dipping. Branch buds ovate, 2-3 Ã— 2.0-2.5 cm, 2-keeled, keels slightly ciliated in matured ones, the prophyllum split along the midline. Branches prominent from the top, few in lower nodes, yellowish, sometimes the base of branch complements becomes rhizomatous. Culm sheaths deciduous with the elongation of young culms, sheath proper 15-25 cm long, usually broader than the length, 18-48 cm broad at the base, rounded and then concavely truncate at the top, lateral sides oblique, adaxial surface glabrous, abaxial surface covered with appressed shiny black hairs, a transverse band of blackish-brown cilia at the base of some sheaths, ligules continuous with the top of the sheath, auricles 2, subequal, continuous with the blade, falcate, margin fringed with brown curled bristles, blades conical, placed centrally on the sheath, 3-12 cm long, base cordate. Leaves in complements of 8-10 blades, leaf sheaths thick, pubescent to glabrescent, inner ligules narrow, concavely truncate, blades oblong-lanceolate to linear-lanceolate, 9-22 Ã— 1-3 cm, base rounded to oblique, tip acuminate, adaxial surface glabrous, secondary veins 5-8 pairs, tertiary veins 5-7 between secondary pairs. Flowering branches 2-many from each node, which branches again, up to 50 cm long, usually leafless, rachis rounded or somewhat furrowed. Pseudo-spikelets in clusters of 5-10 from each node of the flowering branch, up to 2 cm long, flattened, bifid in the mid, subtended by 1-3 bracts towards the base, fertile florets 6-10, terminated by an imperfect floret. Lemma c 7 mm long, ovate, acute, many-veined. Palea longer than lemma, c 9 m long, oblong, obtuse or obtusely acute, ciliated along the keels, 2-3 veined between the keels. Lodicules unequal, longer one c 1.2 mm long, ciliated, 3-veined. Stamens exserted, purple, anthers c 4 mm long, tip obtuse or slightly pointed, dehiscence first apical then lateral. Ovary c 1 mm long, narrowly oblong, pubescent, surrounded by a long, thin, hairy style, divided near the tip into 3 short plumose stigmas.","April-May","Variety of soils. It can withstand salinity to som","Throughout the country.","This is one of the important bamboos in Bangladesh"
"949","443","(Schult. f.) Back. ","Bambusa aspera Schult. f., Dendrocalamus flagellif","Giant Bamboo","Loosely tufted sympodial bamboo. Young shoots conical, blade deflexed, sheath covered with shiny black hairs. Culms dull green, dirty yellowish-grey tomentose when young, 15-30 m tall, 15-20 cm in diameter at the base, generally 7th and 8th internodes longest, the longest internodes 45-60 cm long, internodes sulcated, culm wall 2.5-4.0 cm thick. Nodes slightly greater in diameter than the internodes, nodal line single, horizontal, supra-nodal line distinct, shiny brown transverse pubescent band below and brown pubescent transverse band above the nodal line. Branch bud solitary, above the nodal line, ovate, c 2.5 Ã— 2.5 cm, covered with single prophyllum with mid split. Branche-tuft of slender branches towards the base, otherwise more or less branchless up to mid culm. Culm sheath early deciduous, longer than internodes, whitish-brown, sheath proper elongate, rounded towards the top, 40-50 cm long, 20-30 cm wide at the base, slightly rounded, depressed at the apex, auricles 2, on the sheath top, up to 2 cm long, blades up to 45 cm long, deciduous, reflexed, lanceolate to long acuminate, slightly rounded at the base and then decurrent with the auricles, thickly brown silky pubescent towards the base on the adaxial surface. Leaves in complements of 6-8 (sometimes up to 12) blades, leaf sheaths pubescent when young, later glabrous, keeled on the back, ligulate, petioles up to 5 mm long, blades oblong-lanceolate, up to 30.0 Ã— 2.5 cm, secondary veins 6-8 pairs, tertiary veins 8-10 between each secondary pair. Flowering branches large, leafless, flagelliform, bearing bracteate heads of pseudo-spikelets from each node. Pseudo-spikelets 5-8 mm long, nearly as broad, ovate, florets 2-4, subtended by broadly ovate glumes. Lemma ovate, mucronate, few veined. Palea oblong, bi-mucronate. Lodicules 1 or 2, lanceolate or spathulate. Stamens exserted, filaments short, anthers apiculate or penicillate. Ovary ellipsoidal, hairy, style short, ending in a plumose stigma or dividing into 2 plumose stigmas. Caryopsis 2-5 mm long, tipped with persistent style. ","April-November","Different types of soil, but grows better in heavy","Cultivated elsewhere.","The culms are used for building purposes and produ"
"950","444","Wall. ex Munro","Bambusa giganteana Wall.","Giant Bamboo","Densely clumped sympodial bamboo. Young shoots blackish-purple, sheath covered with purplish hairs, blades maroon-black, curled towards the base. Culms dull green with white blooms, 10-30 m tall, 10-20 cm in diameter at the base, generally 7th to 9th internodes longest, the longest internodes 30-40 cm long, sulcated, sulcation up to 8 cm long, sometimes extended up to the base of the next node, culm wall 1.5-2.0 cm thick. Nodes slightly greater in diameter than the internodes, nodal lines horizontal, a circular band of brown wooly pubescence beneath the scar, supra-nodal ridge present, covered with a circular band of brown pubescence. Branch bud solitary, c 2.5 cm broad, triquetrous, swollen. Branches towards the top, up to two-thirds of the culm from the base. Culm sheaths greenish when young, sheath proper 24-30 cm long, 40-60 cm wide at the base, rounded at the top or often much depressed, adaxial surface glabrous, shiny, abaxial surface covered with golden or brownish stiff hairs, ligule continuous with the sheath top, serrate, auricles 2, small, wavy with stiff brown bristles, blades placed at the top of the sheath, 7-10 cm long, triangular, tip acuminate, spreading at right angles. Leaves in complements of 7-13 blades, leaf sheaths ligulate, inner ligule 1-2 mm broad, outer ligule smaller, sheath ending in a petiole of up to 8 mm long, blades lanceolate, variable in size, the young may reach up to 50 Ã— 10 cm, matured one 15-25 Ã— 3.0-3.5 cm, acuminate, base oblique to rounded, adaxial surface pale green, abaxial surface whitish-green, both the surfaces glabrous, sometimes pubescent on the abaxial surface, secondary veins 8-15 pairs, tertiary veins 8-10 between the secondary pairs. Flowering branches 2-many from a single node, slender, curved, up to 60 cm long, bearing lax head of pseudo-spikelets (from few to many), heads 1-2 cm in diameter, rachis often curved, furrowed on one side, hairy below the heads and white scurfy above. Pseudo-spikelets c 15 cm long, ovate, somewhat flattened, spiny, very minutely pubescent, florets 4-6, all fertile except the last which consists of involute, elongate, mucronate glumes. Lemma 10-13 mm long, papery, ovate, mucronate, many-veined, edges very shortly fringed, short fine hairs on the back. Paleas 7-10 mm long, lanceolate, ciliated along the keels, short hairs all over the back, 2-3 veined between the keels, tip blunt, ciliated. Stamens exserted in the matured florets, anthers 7-8 mm long, tip pointed, dehiscence laterally. Ovary ovoid, stigma purple. Caryopsis 7-8 mm long, oblong, obtuse, hairy above.","May-November","Humid tropical highlands.","Chittagong, the Chittagong Hill Tracts and Thakurg","The large culms are used for construction, scaffol"
